patch_id,scene_class,region_id,location,anchor_lat,anchor_lon,patch_lat,patch_lon,abs_latitude_band,utm_epsg,east_offset_m,north_offset_m,patch_row,patch_col
water__lake_taupo__r1c1,water,lake_taupo,Lake Taupo,-38.78,176.06,-38.78,176.06,30-45,32760,0.0,0.0,1,1
water__lake_taupo__r1c2,water,lake_taupo,Lake Taupo,-38.78,176.06,-38.78036131851204,176.10604571042035,30-45,32760,4000.0,0.0,1,2
water__lake_taupo__r2c0,water,lake_taupo,Lake Taupo,-38.78,176.06,-38.74357898669962,176.01445105069422,30-45,32760,-4000.0,4000.0,2,0
water__lake_taupo__r2c1,water,lake_taupo,Lake Taupo,-38.78,176.06,-38.74395795835227,176.06047276531856,30-45,32760,0.0,4000.0,2,1
water__lake_taupo__r2c2,water,lake_taupo,Lake Taupo,-38.78,176.06,-38.744318814566775,176.10649532513014,30-45,32760,4000.0,4000.0,2,2
water__lake_geneva__r0c0,water,lake_geneva,Lake Geneva,46.44,6.55,46.40290867559343,6.4996225547589885,45-60,32632,-4000.0,-4000.0,0,0
water__lake_geneva__r0c1,water,lake_geneva,Lake Geneva,46.44,6.55,46.40403422604905,6.551611511859023,45-60,32632,0.0,-4000.0,0,1
water__lake_geneva__r0c2,water,lake_geneva,Lake Geneva,46.44,6.55,46.40513616135981,6.603603547241783,45-60,32632,4000.0,-4000.0,0,2
water__lake_geneva__r1c0,water,lake_geneva,Lake Geneva,46.44,6.55,46.43887304337045,6.497976910250337,45-60,32632,-4000.0,0.0,1,0
water__lake_geneva__r1c1,water,lake_geneva,Lake Geneva,46.44,6.55,46.43999999999999,6.550000000000001,45-60,32632,0.0,0.0,1,1
water__lake_geneva__r1c2,water,lake_geneva,Lake Geneva,46.44,6.55,46.44110331203779,6.602026175366326,45-60,32632,4000.0,0.0,1,2
water__lake_geneva__r2c0,water,lake_geneva,Lake Geneva,46.44,6.55,46.47483713884009,6.496328114936276,45-60,32632,-4000.0,4000.0,2,0
water__lake_geneva__r2c1,water,lake_geneva,Lake Geneva,46.44,6.55,46.475965503479806,6.54838540252023,45-60,32632,0.0,4000.0,2,1
water__lake_geneva__r2c2,water,lake_geneva,Lake Geneva,46.44,6.55,46.477070194042625,6.600445783079305,45-60,32632,4000.0,4000.0,2,2
water__lake_michigan__r0c0,water,lake_michigan,Lake Michigan,43.0,-87.85,42.96360901691799,-87.89854417672127,30-45,32616,-4000.0,-4000.0,0,0
water__lake_michigan__r0c1,water,lake_michigan,Lake Michigan,43.0,-87.85,42.96398349270397,-87.84950395424866,30-45,32616,0.0,-4000.0,0,1
water__lake_michigan__r0c2,water,lake_michigan,Lake Michigan,43.0,-87.85,42.96433696087617,-87.80046281908129,30-45,32616,4000.0,-4000.0,0,2
water__lake_michigan__r1c0,water,lake_michigan,Lake Michigan,43.0,-87.85,42.999625055110535,-87.89906884909321,30-45,32616,-4000.0,0.0,1,0
water__lake_michigan__r1c1,water,lake_michigan,Lake Michigan,43.0,-87.85,43.0,-87.85,30-45,32616,0.0,0.0,1,1
water__lake_michigan__r1c2,water,lake_michigan,Lake Michigan,43.0,-87.85,43.0003539109648,-87.80093023622433,30-45,32616,4000.0,0.0,1,2
water__lake_michigan__r2c0,water,lake_michigan,Lake Michigan,43.0,-87.85,43.035640860642474,-87.89959448891861,30-45,32616,-4000.0,4000.0,2,0
water__lake_michigan__r2c1,water,lake_michigan,Lake Michigan,43.0,-87.85,43.03601627517815,-87.8504969604348,30-45,32616,0.0,4000.0,2,1
water__lake_michigan__r2c2,water,lake_michigan,Lake Michigan,43.0,-87.85,43.03637062944784,-87.80139851527466,30-45,32616,4000.0,4000.0,2,2
water__lake_tahoe__r0c0,water,lake_tahoe,Lake Tahoe,39.1,-120.0,39.06280722943713,-120.04464512393872,30-45,32611,-4000.0,-4000.0,0,0
water__lake_tahoe__r0c1,water,lake_tahoe,Lake Tahoe,39.1,-120.0,39.06400457318178,-119.99847449002667,30-45,32611,0.0,-4000.0,0,1
water__lake_tahoe__r0c2,water,lake_tahoe,Lake Tahoe,39.1,-120.0,39.06518366683893,-119.95230112831956,30-45,32611,4000.0,-4000.0,0,2
water__lake_tahoe__r1c0,water,lake_tahoe,Lake Tahoe,39.1,-120.0,39.098801128073546,-120.04619403587961,30-45,32611,-4000.0,0.0,1,0
water__lake_tahoe__r1c1,water,lake_tahoe,Lake Tahoe,39.1,-120.0,39.1,-119.99999999999999,30-45,32611,0.0,0.0,1,1
water__lake_tahoe__r1c2,water,lake_tahoe,Lake Tahoe,39.1,-120.0,39.10118059859638,-119.95380323097694,30-45,32611,4000.0,0.0,1,2
water__lake_tahoe__r2c0,water,lake_tahoe,Lake Tahoe,39.1,-120.0,39.1347947521602,-120.04774572275976,30-45,32611,-4000.0,4000.0,2,0
water__lake_tahoe__r2c1,water,lake_tahoe,Lake Tahoe,39.1,-120.0,39.13599515380014,-120.00152824311934,30-45,32611,0.0,4000.0,2,1
water__lake_tahoe__r2c2,water,lake_tahoe,Lake Tahoe,39.1,-120.0,39.13717725884428,-119.95530802497149,30-45,32611,4000.0,4000.0,2,2
water__great_salt_lake__r0c0,water,great_salt_lake,Great Salt Lake,41.2,-112.61,41.16330659154836,-112.65677819885623,30-45,32612,-4000.0,-4000.0,0,0
water__great_salt_lake__r0c1,water,great_salt_lake,Great Salt Lake,41.2,-112.61,41.16398243265884,-112.60911792245048,30-45,32612,0.0,-4000.0,0,1
water__great_salt_lake__r0c2,water,great_salt_lake,Great Salt Lake,41.2,-112.61,41.16463856162641,-112.56145604736236,30-45,32612,4000.0,-4000.0,0,2
water__great_salt_lake__r1c0,water,great_salt_lake,Great Salt Lake,41.2,-112.61,41.199323306711754,-112.6576863738207,30-45,32612,-4000.0,0.0,1,0
water__great_salt_lake__r1c1,water,great_salt_lake,Great Salt Lake,41.2,-112.61,41.199999999999996,-112.61,30-45,32612,0.0,0.0,1,1
water__great_salt_lake__r1c2,water,great_salt_lake,Great Salt Lake,41.2,-112.61,41.2006569563067,-112.5623120241781,30-45,32612,4000.0,0.0,1,2
water__great_salt_lake__r2c0,water,great_salt_lake,Great Salt Lake,41.2,-112.61,41.2353397793716,-112.65859619813803,30-45,32612,-4000.0,4000.0,2,0
water__great_salt_lake__r2c1,water,great_salt_lake,Great Salt Lake,41.2,-112.61,41.23601732576126,-112.61088367955246,30-45,32612,0.0,4000.0,2,1
water__great_salt_lake__r2c2,water,great_salt_lake,Great Salt Lake,41.2,-112.61,41.23667511030388,-112.5631695556367,30-45,32612,4000.0,4000.0,2,2
water__caspian_sea__r0c0,water,caspian_sea,Caspian Sea,42.0,48.355,41.962890474981585,48.308271183739436,30-45,32639,-4000.0,-4000.0,0,0
water__caspian_sea__r0c1,water,caspian_sea,Caspian Sea,42.0,48.355,41.964011654720714,48.3564900532219,30-45,32639,0.0,-4000.0,0,1
water__caspian_sea__r0c2,water,caspian_sea,Caspian Sea,42.0,48.355,41.96511260556185,48.40471163804328,30-45,32639,4000.0,-4000.0,0,2
water__caspian_sea__r1c0,water,caspian_sea,Caspian Sea,42.0,48.355,41.99887741249511,48.3067540306194,30-45,32639,-4000.0,0.0,1,0
water__caspian_sea__r1c1,water,caspian_sea,Caspian Sea,42.0,48.355,41.99999999999999,48.355,30-45,32639,0.0,0.0,1,1
water__caspian_sea__r1c2,water,caspian_sea,Caspian Sea,42.0,48.355,42.00110233325514,48.4032486904708,30-45,32639,4000.0,0.0,1,2
water__caspian_sea__r2c0,water,caspian_sea,Caspian Sea,42.0,48.355,42.03486407883251,48.305234107051625,30-45,32639,-4000.0,4000.0,2,0
water__caspian_sea__r2c1,water,caspian_sea,Caspian Sea,42.0,48.355,42.0359880756714,48.353507225684936,30-45,32639,0.0,4000.0,2,1
water__caspian_sea__r2c2,water,caspian_sea,Caspian Sea,42.0,48.355,42.037091792880695,48.4017830711774,30-45,32639,4000.0,4000.0,2,2
water__lake_constance__r0c0,water,lake_constance,Lake Constance,47.6,9.4,47.56418248428852,9.34655093568043,45-60,32632,-4000.0,-4000.0,0,0
water__lake_constance__r0c1,water,lake_constance,Lake Constance,47.6,9.4,47.56400949476512,9.399725937570112,45-60,32632,0.0,-4000.0,0,1
water__lake_constance__r0c2,water,lake_constance,Lake Constance,47.6,9.4,47.56381185407448,9.452900407144588,45-60,32632,4000.0,-4000.0,0,2
water__lake_constance__r1c0,water,lake_constance,Lake Constance,47.6,9.4,47.600173206419115,9.346788541872023,45-60,32632,-4000.0,0.0,1,0
water__lake_constance__r1c1,water,lake_constance,Lake Constance,47.6,9.4,47.599999999999994,9.4,45-60,32632,0.0,0.0,1,1
water__lake_constance__r1c2,water,lake_constance,Lake Constance,47.6,9.4,47.59980211150753,9.45321092450264,45-60,32632,4000.0,0.0,1,2
water__lake_constance__r2c0,water,lake_constance,Lake Constance,47.6,9.4,47.63616370073636,9.347026610709834,45-60,32632,-4000.0,4000.0,2,0
water__lake_constance__r2c1,water,lake_constance,Lake Constance,47.6,9.4,47.63599027712578,9.400274596055981,45-60,32632,0.0,4000.0,2,1
water__lake_constance__r2c2,water,lake_constance,Lake Constance,47.6,9.4,47.63579214049363,9.453522046462153,45-60,32632,4000.0,4000.0,2,2
